"probe" "entrez.id"
"1" "121_at" "7849"
"2" "1405_i_at" "6352"
"3" "1438_at" "2049"
"4" "1552261_at" "10406"
"5" "1552269_at" "128153"
"6" "1552283_s_at" "79844"
"7" "1552288_at" "148113"
"8" "1552289_a_at" "148113"
"9" "1552291_at" "54965"
"10" "1552306_at" "84920"
"11" "1552309_a_at" "91624"
"12" "1552316_a_at" "170575"
"13" "1552319_a_at" "11202"
"14" "1552326_a_at" "220136"
"15" "1552329_at" "5930"
"16" "1552330_at" "92806"
"17" "1552337_s_at" "3233"
"18" "1552343_s_at" "5150"
"19" "1552344_s_at" "29883"
"20" "1552348_at" "260429"
"21" "1552349_a_at" "260429"
"22" "1552365_at" "85477"
"23" "1552368_at" "140690"
"24" "1552378_s_at" "157506"
"25" "1552390_a_at" "203111"
"26" "1552455_at" "158471"
"27" "1552470_a_at" "83451"
"28" "1552472_a_at" "23527"
"29" "1552477_a_at" "3664"
"30" "1552487_a_at" "646"
"31" "1552496_a_at" "23242"
"32" "1552502_s_at" "54933"
"33" "1552514_at" "164684"
"34" "1552516_a_at" "204851"
"35" "1552519_at" "130399"
"36" "1552532_a_at" "245973"
"37" "1552578_a_at" "140469"
"38" "1552594_at" "147744"
"39" "1552619_a_at" "54443"
"40" "1552658_a_at" "89795"
"41" "1552660_a_at" "55322"
"42" "1552701_a_at" "114769"
"43" "1552703_s_at" "114769 /// 834"
"44" "1552712_a_at" "23057"
"45" "1552727_s_at" "170691"
"46" "1552735_at" "56111"
"47" "1552767_a_at" "90161"
"48" "1552787_at" "92797"
"49" "1552790_a_at" "7095"
"50" "1552793_at" "286122"
"51" "1552797_s_at" "150696"
"52" "1552807_a_at" "89790"
"53" "1552848_a_at" "139411"
"54" "1552867_at" ""
"55" "1552910_at" "114132"
"56" "1552930_at" "79258"
"57" "1552978_a_at" "9522"
"58" "1553055_a_at" "162394"
"59" "1553089_a_at" "10406"
"60" "1553099_at" "200765"
"61" "1553102_a_at" "26112"
"62" "1553105_s_at" "1829"
"63" "1553132_a_at" "123036"
"64" "1553145_at" "202020"
"65" "1553158_at" "84984"
"66" "1553179_at" "171019"
"67" "1553185_at" "158158"
"68" "1553186_x_at" "158158"
"69" "1553211_at" "162282"
"70" "1553219_a_at" "9949"
"71" "1553269_at" ""
"72" "1553275_s_at" ""
"73" "1553292_s_at" "124923"
"74" "1553319_at" "27199"
"75" "1553349_at" "196528"
"76" "1553413_at" "80078"
"77" "1553422_s_at" "54715"
"78" "1553423_a_at" "146857"
"79" "1553582_a_at" "10407 /// 653423"
"80" "1553589_a_at" "10158"
"81" "1553602_at" "118430"
"82" "1553613_s_at" "2296"
"83" "1553655_at" "166979"
"84" "1553685_s_at" "6667"
"85" "1553694_a_at" "5286"
"86" "1553710_at" "152756"
"87" "1553725_s_at" "84146"
"88" "1553734_at" "122481"
"89" "1553764_a_at" "84962"
"90" "1553928_at" "255520"
"91" "1553960_at" "90203"
"92" "1553962_s_at" "388"
"93" "1553970_s_at" "100508206 /// 1056"
"94" "1553971_a_at" "352954"
"95" "1553972_a_at" "875"
"96" "1553986_at" "158158"
"97" "1553989_a_at" "245973"
"98" "1553995_a_at" "4907"
"99" "1553997_a_at" "253982"
"100" "1554004_a_at" "64283"
"101" "1554007_at" ""
"102" "1554008_at" "9180"
"103" "1554018_at" "10457"
"104" "1554020_at" "636"
"105" "1554062_at" "7499"
"106" "1554067_at" "144577"
"107" "1554079_at" "374378"
"108" "1554101_a_at" "84899"
"109" "1554140_at" "79819"
"110" "1554141_s_at" "79819"
"111" "1554147_s_at" "89876"
"112" "1554161_at" "9481"
"113" "1554168_a_at" "30011"
"114" "1554178_a_at" "285172"
"115" "1554179_s_at" "66004"
"116" "1554190_s_at" "79949"
"117" "1554195_a_at" "389336"
"118" "1554240_a_at" "3683"
"119" "1554242_a_at" "1690"
"120" "1554250_s_at" "375593"
"121" "1554251_at" "50809"
"122" "1554271_a_at" "91687"
"123" "1554287_at" "89122"
"124" "1554300_a_at" "136306"
"125" "1554334_a_at" "55466"
"126" "1554390_s_at" "10097"
"127" "1554411_at" "1499"
"128" "1554417_s_at" "51107"
"129" "1554420_at" "467"
"130" "1554433_a_at" "7705"
"131" "1554452_a_at" "29923"
"132" "1554455_at" "55180"
"133" "1554472_a_at" "51105"
"134" "1554473_at" "57522"
"135" "1554474_a_at" "26002"
"136" "1554485_s_at" "140738"
"137" "1554489_a_at" "80321"
"138" "1554513_s_at" "84902"
"139" "1554524_a_at" "118427"
"140" "1554526_at" "118427"
"141" "1554539_a_at" "54509"
"142" "1554544_a_at" "4155"
"143" "1554547_at" "220965"
"144" "1554576_a_at" "2118"
"145" "1554588_a_at" "150737"
"146" "1554608_at" "10618"
"147" "1554609_at" "100287896"
"148" "1554614_a_at" "58155"
"149" "1554638_at" "9765"
"150" "1554663_a_at" "4926"
"151" "1554676_at" "5552"
"152" "1554679_a_at" "55353"
"153" "1554690_a_at" "6867"
"154" "1554696_s_at" "7298"
"155" "1554697_at" "56999"
