Probe.ID Entrez.ID
229479_at 646324
201147_s_at 7078
212473_s_at 9645
226612_at 134111
204940_at 5350
37892_at 1301
212353_at 23213
229802_at ---
1554195_a_at 389336
205959_at 4322
204320_at 1301
217430_x_at 1277
1552289_a_at ---
226658_at 10630
228333_at ---
223121_s_at 6423
212354_at 23213
202237_at 4837
37005_at 4681
218087_s_at 10580
223122_s_at 6423
205907_s_at 4958
1552309_a_at 91624
208790_s_at 284119
1552288_at ---
229554_at ---
202283_at 5176
209325_s_at 6004
215199_at 800
203549_s_at 4023
226777_at ---
200665_s_at 6678
234994_at 114801
209047_at 358
211981_at 1282
209955_s_at 2191
204298_s_at 4015
230493_at 387914
201616_s_at 800
209101_at 1490
229271_x_at ---
211161_s_at 1281
228766_at ---
212764_at ---
201286_at 6382
218469_at 26585
240135_x_at 7078
210139_s_at 5376
214081_at 57125
201963_at 2180
210511_s_at 3624
225664_at 1303
203570_at 4016
201289_at 3491
235086_at 7057
227140_at ---
221019_s_at 81035
202995_s_at 2192
205525_at 800
219134_at 64123
1555778_a_at 10631
213139_at 6591
209687_at 6387
218559_s_at 9935
204163_at 11117
206439_at 1833
203666_at 6387
209555_s_at 948
221942_s_at 2982
202878_s_at 22918
227566_at 50863
203980_at 2167
202435_s_at 1545
225688_s_at 90102
201645_at 3371
218468_s_at 26585
233690_at 861
213905_x_at 10194
201105_at 3956
201843_s_at 2202
226311_at ---
1558199_at 2335
205943_at 6999
205529_s_at 862
200906_s_at 23022
203083_at 7058
204463_s_at 1909
205117_at 2246
201621_at 4681
205206_at 3730
219087_at 54829
200974_at 59
204894_s_at 8639
212423_at 219654
230372_at ---
221729_at 1290
232523_at 84466
209651_at 7041
209156_s_at 1292
208370_s_at 1827
227061_at ---
215076_s_at 1281
201617_x_at 800
222449_at 56937
213428_s_at 1291
217428_s_at 1300
225241_at 151887
205547_s_at 6876
204451_at 8321
222288_at 151987
221730_at 1290
201108_s_at 7057
213429_at ---
222450_at 56937
227059_at 10082
221541_at 83716
227070_at 83468
204939_s_at 5350
204345_at 1307
241864_x_at 151987
213909_at 131578
231879_at 1303
209324_s_at 6004
1557938_s_at 284119
207191_s_at 3671
